Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,16461,18427,20645,23168,27224,30113,31196
British Virgin Islands,VGB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,258785,297192,333241,365158,388662,417542,428697
Brunei Darussalam,BRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9593609020.9021,11205265273.194,11971150348.3682,13264408434.1768,13707370737.0737,13637697103.0436,13478200979.2483
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8718289,8406067,8170172,7658972,7395599,7177991,7075991
Bulgaria,BGR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,36292630364.1533,31790934141.0586,32315283606.3355,42592798158.9278,50610058210.3696,54639028022.2012,58815148233.383
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,8811034,10089878,11607942,13421930,15605217,18110624,19193382
Burkina Faso,BFA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3007669516.04934,3643671090.83705,5046707523.52324,6871593161.43807,8979966766.07232,11688050885.9058,13215293997.0124
Burundi,BDI,"Population, total",SP.POP.TOTL,5415415,5962058,6400706,7423289,8766930,10199270,10864245
Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1782525984.41627,1569636079.67758,1460945582.56049,1627085107.05727,2026864469.36388,2310420828.20521,2309167268.07383
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,341883,389127,435079,474567,502384,532913,546388
Cabo Verde,CPV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,321985896.487348,535991159.978501,948465609.657377,1252563900.2118,1664310769.55229,1791765400.6768,1932550791.05262
Cambodia,KHM,"Population, total",SP.POP.TOTL,8973342,10653558,12152354,13270201,14308740,15517635,16005373
Cambodia,KHM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,3643242084.68339,5241366891.85216,8138335730.42109,11242275198.9783,15903594933.6638,18168529608.2286
Cameroon,CMR,"Population, total",SP.POP.TOTL,11715218,13460994,15274234,17420795,19970495,22834522,24053727
Cameroon,CMR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,15811240757.6391,14337567546.2407,17770523602.1425,22022574644.1204,26143818509.6421,33558475339.5266,36165610684.419
Canada,CAN,"Population, total",SP.POP.TOTL,27791000,29354000,30769700,32312000,34005274,35832513,36708083
Canada,CAN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1014073201232.01,1102814170729.94,1342736881188.7,1524530644076.37,1613464422811.13,1802512887794.11,1883707911710.79
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,25010,31672,41687,48622,55507,59963,61559
Cayman Islands,CYM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2939780,3352767,3754986,4127910,4448525,4546100,4659080
Central African Republic,CAF,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1377848203.91158,1446715276.78828,1546822903.59629,1694156410.82443,1986015906.25044,1431688205.2978,1560913334.86281
Chad,TCD,"Population, total",SP.POP.TOTL,5956859,7000722,8342559,10067009,11887202,14009413,14899994
Chad,TCD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3080498133.76201,3393656609.04142,3858672132.83035,8407921034.68586,10657705536.4978,13486244396.1105,12269174945.5376
Channel Islands,CHI,"Population, total",SP.POP.TOTL,140671,144046,148725,154294,159581,163758,165314
Channel Islands,CHI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..
Chile,CHL,"Population, total",SP.POP.TOTL,13242132,14296613,15262754,16147064,16993354,17762681,18054726
Chile,CHL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,78761086957.4583,115108987852.776,144524703666.117,181652337025.042,218537551220.071,264555250851.642,271895690380.202
China,CHN,"Population, total",SP.POP.TOTL,1135185000,1204855000,1262645000,1303720000,1337705000,1371220000,1386395000
China,CHN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,829561967976.346,1479027474653.82,2237080553585.02,3569853222249.4,6100620488867.55,8908300778495.9,10161012758870.3
Colombia,COL,"Population, total",SP.POP.TOTL,34271565,37441977,40403958,43285634,45918097,48228697,49065615
Colombia,COL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,148050777226.673,181270356905.601,192491233553.464,229936852450.343,287018184637.529,359119674815.303,372935921852.641
Comoros,COM,"Population, total",SP.POP.TOTL,411594,475394,542357,611627,689692,777424,813912
Comoros,COM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,358600873.034513,372218160.938767,437372669.839698,490117180.09107,530493353.218937,598210181.091478,626655075.342764
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,34614581,41595744,47076387,54751476,64523263,76196619,81339988
"Congo, Dem. Rep.",COD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,24302307019.9629,16679786457.2249,13660046634.625,16466585539.5574,21565722425.0028,31338079628.7828,33277601928.2367
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,2440457,2799255,3225727,3718243,4386693,4995648,5260750
"Congo, Rep.",COG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6621207023.12928,6769793164.98691,7627595733.65268,9307922523.85313,12007880438.6232,14614906845.3719,13553775872.0588
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3095995,3510926,3925443,4247841,4545280,4807852,4905769
Costa Rica,CRI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,15206147661.4354,19842631676.589,24457392097.2728,29539652853.0961,37268635287.0856,44693802321.5472,48037268859.2239
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,12267754,14540820,16686561,18336303,20401331,23108472,24294750
Cote d'Ivoire,CIV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17764120445.2383,19108381522.8738,22300414201.6886,22300767039.1796,24884505034.5564,33963218673.8589,39665491528.8538
Croatia,HRV,"Population, total",SP.POP.TOTL,4780000,4669000,4426000,4442000,4417781,4203604,4125700
Croatia,HRV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,39570428328.0577,46778513367.1593,58278072356.2334,59829574390.6875,59220688842.7487,62792670406.2264
Cuba,CUB,"Population, total",SP.POP.TOTL,10582081,10906043,11150736,11284253,11333051,11461432,11484636
Cuba,CUB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,44719281449.4919,31018100877.8065,38729221263.7745,49481477439.0285,64328000000,73868701308.4427,..
Curacao,CUW,"Population, total",SP.POP.TOTL,145400,145139,133860,137658,148703,157980,161014
Curacao,CUW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,766614,855384,943286,1027658,1112607,1160985,1179551
Cyprus,CYP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,12268873770.9831,15640463781.8718,18959184071.864,22574052490.8546,25562251655.6291,23512930619.0275,25254845995.1179
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10333355,10327253,10255063,10211216,10474410,10546059,10591323
Czech Republic,CZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,144549764967.994,139035670807.535,151842446297.436,183918160040.841,207477857918.919,225492702210.936,241262838218.161
Denmark,DNK,"Population, total",SP.POP.TOTL,5140939,5233373,5339616,5419432,5547683,5683483,5769603
Denmark,DNK,GDP (constant 2010 US$),NY.GDP.MKTP.KD,229126567479.986,257078363997.635,298220951889.866,318622884652.143,321995350346.501,340825646884.154,355304650098.016
Djibouti,DJI,"Population, total",SP.POP.TOTL,590398,630388,717584,783254,851146,927414,956985
Djibouti,DJI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,1128611700.3618,..,..
Dominica,DMA,"Population, total",SP.POP.TOTL,70926,71368,69676,70627,71440,73162,73925
Dominica,DMA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,323538864.359506,349353116.758139,386098878.531743,423387808.825322,493824407.407407,493013933.986646,484700482.820153
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,7183647,7892423,8562622,9237566,9897985,10528394,10766998
Dominican Republic,DOM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,19275566392.0305,25194139488.0514,34399744511.2012,40782118016.1477,53982886258.2205,69095397696.4097,77017184251.8333
Ecuador,ECU,"Population, total",SP.POP.TOTL,10218091,11440583,12628596,13735233,14934690,16144368,16624858
Ecuador,ECU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,38020869118.8889,44017726512.0244,46459371078.3637,58876285668.9747,69555367000,86418807383.1387,87606643822.0677
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,57412215,63714386,69905988,76778149,84107606,93778172,97553151
"Egypt, Arab Rep.",EGY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,89567840760.6468,105850733344.84,136359108297.002,162192916084.429,218888324504.753,249951802078.734,271721622290.248
El Salvador,SLV,"Population, total",SP.POP.TOTL,5254984,5611115,5867626,6028961,6164626,6312478,6377853
El Salvador,SLV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,11342594316.5462,14294596894.7716,15762939192.2857,16999196207.0351,18447922400,21045462109.7945,22089971802.6927
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,426846,504871,614323,757317,951104,1175389,1267689
Equatorial Guinea,GNQ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,216793281.866299,440039841.242576,3369132140.08877,12072880264.5669,16298542027.9965,16457325595.0027,14561450359.0116
Eritrea,ERI,"Population, total",SP.POP.TOTL,3113311,3090159,3392801,3969007,4390840,..,..
Eritrea,ERI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,1668457645.41958,1939336012.36364,2200767544.94132,2117039512.19512,..,..
Estonia,EST,"Population, total",SP.POP.TOTL,1569174,1436634,1396985,1354775,1331475,1315407,1315480
Estonia,EST,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,10507168850.136,14121011168.8073,19889757107.0738,19490936349.1753,23327372037.3633,24964382783.2038
Eswatini,SWZ,"Population, total",SP.POP.TOTL,861373,960792,1061468,1105873,1202843,1319011,1367254
Eswatini,SWZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2342959992.34362,2723882841.3067,3134761586.47074,3772877432.00497,4438778424.30203,5175653650.92985,5351455206.87742
Ethiopia,ETH,"Population, total",SP.POP.TOTL,48086516,57309880,66537331,76727083,87702670,99873033,104957438
Ethiopia,ETH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9964477334.54832,10471023886.7174,13074915712.856,17860775923.3616,29933790334.3418,48667131306.0417,57710624015.1401
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47594,46040,47258,48285,48550,48965,49290
Faroe Islands,FRO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,2301168186.90991,..,..
Fiji,FJI,"Population, total",SP.POP.TOTL,728628,775498,811223,821817,859950,892149,905502
Fiji,FJI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2132221728.89777,2421813101.87764,2689258981.99094,3031738288.38912,3140508835.9485,3756891966.94786,3914472684.17761
Finland,FIN,"Population, total",SP.POP.TOTL,4986431,5107790,5176209,5246096,5363352,5479531,5511303
Finland,FIN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,167119851165.76,163433977903.956,209379586716.485,237927555871.426,247799815768.477,247409110553.877,259348797027.169
France,FRA,"Population, total",SP.POP.TOTL,58512808,59541899,60912500,63179351,65027507,66593366,67118648
France,FRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1904237454486.49,2029852848973.99,2342736298465.86,2543121659233.15,2642609548930.36,2773101619290.33,2857089402048
French Polynesia,PYF,"Population, total",SP.POP.TOTL,198375,215196,237258,254886,267820,277690,283007
French Polynesia,PYF,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..
Gabon,GAB,"Population, total",SP.POP.TOTL,952212,1086137,1231122,1403126,1640210,1930175,2025137
Gabon,GAB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,10585966860.9368,12319367727.7966,12480739960.3275,13441236307.6313,14358631634.4187,18526671343.6802,19121396781.1748
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,916808,1066223,1231844,1444204,1692149,1977590,2100568
"Gambia, The",GMB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,472459105.277726,524148847.430006,653003469.728368,757505143.313151,951806368.699129,1060807213.42974,1122269380.66197
Georgia,GEO,"Population, total",SP.POP.TOTL,4802000,4734000,4418300,4190000,3926000,3717100,3717100
Georgia,GEO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,16925987566.8214,4782526716.11388,6348564680.98529,9042416092.8345,11638536834.4274,14768853639.6005,15946982915.8715
Germany,DEU,"Population, total",SP.POP.TOTL,79433029,81678051,82211508,82469422,81776930,81686611,82695000
Germany,DEU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2568633883305.68,2840972414088.64,3123907846524.82,3213777436171.33,3417094562648.95,3709597862509.39,3865759081373.6
Ghana,GHA,"Population, total",SP.POP.TOTL,14628260,16760467,18938762,21542009,24512104,27582821,28833629
Ghana,GHA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,12047715856.1569,14857951398.9653,18356121284.0331,23469626664.7482,32174772955.9748,46469539221.9218,52299462264.3043
Gibraltar,GIB,"Population, total",SP.POP.TOTL,29164,30147,31180,32085,33189,34228,34571
Gibraltar,GIB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..
Greece,GRC,"Population, total",SP.POP.TOTL,10196792,10562153,10805808,10987314,11121341,10820883,10760421
Greece,GRC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,197653949750.543,210287497825.875,251509982285.871,304332233457.662,299361576558.217,245079688980.546,247784663293.158
Greenland,GRL,"Population, total",SP.POP.TOTL,55600,55800,56200,56935,56905,56114,56171
Greenland,GRL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1517654950.35005,1501008943.65321,1809246741.70089,2126686936.57652,2503156060.52524,2622659625.54009,..
Grenada,GRD,"Population, total",SP.POP.TOTL,96283,100255,101619,102949,104677,106823,107825
Grenada,GRD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,459440912.448988,470269146.447706,646274759.694853,806847560.795381,771015888.888889,898036907.793778,965852407.112932
Guam,GUM,"Population, total",SP.POP.TOTL,130482,145561,155329,158402,159444,161797,164229
Guam,GUM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,4845859455.02971,4895000000,5196863347.67466,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,9263813,10408489,11650743,13096028,14630417,16252429,16913503
Guatemala,GTM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,19885653339.5948,24521297988.1245,29765102998.3889,34551125869.8223,41338595380.8159,49879411881.3975,52841341285.6064
Guinea,GIN,"Population, total",SP.POP.TOTL,6041094,7871173,8808546,9679745,10794170,12091533,12717176
Guinea,GIN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3511547236.01066,4251328845.07547,5151694938.25241,5993557764.69665,6992497898.58596,8752701726.34786,10465290137.4678
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1012280,1137122,1243229,1380838,1555880,1770526,1861283
Guinea-Bissau,GNB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,622007475.009432,727035159.059283,661730564.585243,721473399.280578,850633309.814482,999869068.137843,1125377385.5273
Guyana,GUY,"Population, total",SP.POP.TOTL,743309,761291,753301,750946,746556,768514,777859
Guyana,GUY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1100402112.81128,1550522843.68091,1773670954.22892,1837303453.84412,2273225041.96217,2831915364.03855,3011396094.39359
Haiti,HTI,"Population, total",SP.POP.TOTL,7099732,7819806,8549200,9263404,9999617,10711061,10981229
Haiti,HTI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,6556695399.76108,6379734003.44932,6622541528.56888,7798329610.05405,8004441867.12255
Honduras,HND,"Population, total",SP.POP.TOTL,4955328,5709051,6524283,7373430,8194778,8960829,9265067
Honduras,HND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7649634778.63051,9102265883.78003,10569704556.9194,13268415996.7103,15839344591.9842,18839040425.3557,20481239263.2949
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,5704500,6156100,6665000,6813200,7024200,7291300,7391700
"Hong Kong SAR, China",HKG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,104112263787.381,134779624937.554,153400895123.315,188648640222.02,228637697575.04,264386879658.877,280346000937.197
Hungary,HUN,"Population, total",SP.POP.TOTL,10373988,10328965,10210971,10087065,10000023,9843028,9781127
Hungary,HUN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,92465301329.2829,107116662868.959,132348549363.811,130922638689.071,143995970044.202,153053569271.399
Iceland,ISL,"Population, total",SP.POP.TOTL,254826,267468,281205,296734,318041,330815,341284
Iceland,ISL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,10279352467.9624,12642190112.0744,13310567802.9356,15290908623.4238,17033486324.1295
India,IND,"Population, total",SP.POP.TOTL,870133480,960482795,1053050912,1144118674,1230980691,1309053980,1339180127
India,IND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,466533190787.303,597711980866.823,802754758765.919,1111202106006.44,1656617073124.71,2302413591823.42,2629542211700.51
Indonesia,IDN,"Population, total",SP.POP.TOTL,181436821,196957849,211540429,226712730,242524123,258162113,263991379
Indonesia,IDN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,309821137734.336,437209211196.907,453413616927.798,571204954434.658,755094160363.071,988128596686.365,1090459494378.56
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,56226185,60575644,66131854,70421811,74567511,79360487,81162788
"Iran, Islamic Rep.",IRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,233190267070.578,274304418738.506,316232660519.804,400345002659.636,487069570463.766,476718833681.841,563826247961.828
Iraq,IRQ,"Population, total",SP.POP.TOTL,17469005,20208387,23565413,27008426,30762701,36115649,38274618
Iraq,IRQ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,71262089056.6554,46941533227.6608,101597124725.723,104187985160.487,138516722649.573,192736516384.431,212268631248.1
Ireland,IRL,"Population, total",SP.POP.TOTL,3513974,3608841,3805174,4159914,4560155,4701957,4813608
Ireland,IRL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,83332971545.8412,104517737774.456,163414057103.266,214349276918.52,221951354761.532,316108768452.787,358293477609.585
Isle of Man,IMN,"Population, total",SP.POP.TOTL,68429,70070,72554,76118,80072,83167,84287
Isle of Man,IMN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1741094197.12591,1983396586.72548,3153538406.19094,4167423800.56207,5920177688.50433,6989864994.05606,..
Israel,ISR,"Population, total",SP.POP.TOTL,4660000,5545000,6289000,6930100,7623600,8380100,8712400
Israel,ISR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,98518443958.3715,136364015833.11,173804947124.9,191069409868.949,233609522091.468,276487272960.685,297396080362.923
Italy,ITA,"Population, total",SP.POP.TOTL,56719240,56844303,56942108,57969484,59277417,60730582,60551416
Italy,ITA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1749180429217.39,1866191802602.73,2060209787378.25,2158721935302.66,2125058244242.92,2062939161297.74,2111901941464.1
Jamaica,JAM,"Population, total",SP.POP.TOTL,2424242,2537440,2656864,2744673,2817210,2871934,2890299
Jamaica,JAM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,10343225288.8337,12552384194.7506,12340062297.4414,13518275863.5085,13191645685.5116,13614800124.9838,13868257226.838
Japan,JPN,"Population, total",SP.POP.TOTL,123537000,125439000,126843000,127773000,128070000,127141000,126785797
Japan,JPN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4703605002001.88,5063810899979.07,5348935478913.59,5672306823990.12,5700098114744.41,5996413817472.4,6156328720578.61
